users,ads,scaled_ads,,
41,1.6,0.002485314,,
44,18,0.039539087,0.046132085,average of scaled_ads
57,4.85,0.009828287,,
76,12.6,0.027338455,,
88,89,0.199954812,,
104,7.25,0.015250791,,
146,18,0.039539087,,
191,6.8,0.014234071,,
197,5.3,0.010845007,,
254,4.25,0.008472662,,
257,35.7,0.07953005,,
260,26.7,0.059195662,,
273,15.4,0.033664709,,
281,7.35,0.015476728,,
285,25.95,0.05750113,,
289,9.2,0.019656575,,
293,7.65,0.016154541,,
299,19,0.041798464,,
347,17.3,0.037957524,,
404,10.5,0.022593764,,
411,4.45,0.008924537,,
428,13.1,0.028468143,,
453,42.75,0.095458653,,
487,5.55,0.011409851,,
502,105,0.236104835,,
539,4.8,0.009715319,,
555,32.75,0.072864889,,
574,12.2,0.026434704,,
580,57.8,0.129462268,,
583,116.6,0.262313601,,
605,43.65,0.097492092,,
611,43.9,0.098056936,,
637,23.85,0.052756439,,
666,29.6,0.065747854,,
681,6.95,0.014572978,,
687,12.1,0.026208766,,
697,2.55,0.004631722,,
709,7.75,0.016380479,,
714,27.8,0.061680976,,
724,20.65,0.045526435,,
764,16.6,0.03637596,,
784,20.7,0.045639404,,
793,14.5,0.03163127,,
811,9.15,0.019543606,,
837,31.65,0.070379575,,
860,38.85,0.086647085,,
861,3.25,0.006213285,,
904,10.05,0.021577045,,
922,16.5,0.036150023,,
937,21.75,0.048011749,,
958,17.1,0.037505648,,
966,17.3,0.037957524,,
983,7,0.014685947,,
993,16.8,0.036827836,,
998,16.2,0.03547221,,
1020,7.95,0.016832354,,
1052,94.2,0.21170357,,
1066,20,0.04405784,,
1079,14.3,0.031179394,,
1081,7.6,0.016041573,,
1095,5.05,0.010280163,,
1106,8.6,0.018300949,,
1128,7.05,0.014798915,,
1131,41.5,0.092634433,,
1143,26.35,0.05840488,,
1166,20,0.04405784,,
1185,24.1,0.053321283,,
1244,3.35,0.006439223,,
1269,7.95,0.016832354,,
1280,40.05,0.089358337,,
1332,7.15,0.015024853,,
1349,28.4,0.063036602,,
1351,29.1,0.064618165,,
1363,1.65,0.002598283,,
1374,13.65,0.0297108,,
1375,26.4,0.058517849,,
1377,6.75,0.014121103,,
1386,51.6,0.115454135,,
1394,7.85,0.016606417,,
1396,39.4,0.087889742,,
1403,19.7,0.043380027,,
1414,6.3,0.013104383,,
1495,18.6,0.040894713,,
1522,7.05,0.014798915,,
1553,3.6,0.007004067,,
1560,14.7,0.032083145,,
1584,33,0.073429733,,
1589,4.7,0.009489381,,
1599,25,0.055354722,,
1609,27,0.059873475,,
1619,36,0.080207863,,
1628,31.3,0.069588793,,
1631,21.9,0.048350655,,
1650,3.4,0.006552192,,
1661,21.5,0.047446905,,
1662,13.95,0.030388613,,
1694,43.95,0.098169905,,
1744,9.5,0.020334388,,
